Vietnamese,Bahnar
80% hla 'nhěm rim apǔng choh jang pơnhôm đĕi 'yok mâu  kiêm soat yư lương pơgang vĕi jư đô xa;,80% rau tại các vùng sản xuất tập trung được lấy mẫu kiểm soát dư lượng thuốc BVTV;
"9 kheêi kôl sônaêm 2019, huyeân Vinh Thanh ôêi 10 naê ma adriêng naêm xuaât khôu lao ñoâng pôm bieâk ôêi jônang oei nöôc ngoai qua Trung taâm tôguêm tôdrong pôm thuoâc Sô LÑ – TB&XH tinh","9 tháng đầu năm 2019, huyện Vĩnh Thạnh có 10 lao động tham gia xuất khẩu lao động làm việc có thời hạn ở nước ngoài qua Trung tâm Giới thiệu việc làm thuộc Sở LĐ-TB&XH tỉnh"
"90% bơngai choh jang, pơm, tĕch pơdron đô xa, 100% bơngai vĕi jư, ơ̌i kiên thưk păng pơm trŏ rim kuy đinh dĭ kơpal têh đak lơ̌m tơ'măn tơl chât lương, ATTP  lơ̌m choh jang, tĕch pơdro nông lâm thuy san;","90% người sản xuất, chế biến, kinh doanh thực phẩm, 100% người quản lý, có kiến thức và thực hành đúng các quy định của Nhà nước về đảm bảo chất lượng, ATTP trong sản xuất, kinh doanh nông lâm thủy sản;"
A druĭh mĭh jŭ tơ drơm xơh năm,Cô gái 16 tuổi
A lê̆ lơ như hơ khan bĭ tơrŏ,Lẽ nào nó nói dối
A yăt My jơ̆h 'bet duch 'nŏh,Giặc Mỹ đã giết cô ấy
"Adal adal tơhyung pơjing apung choh jang 'ba ơi ya tri đuôi, kjung chơ đêh têh choh jang 'ba adrech sư tơ'măn tơl thu 'yok lơm tinh păng kung ưng ăn rim tinh nai.","Từng bước xây dựng vùng sản xuất lúa có giá trị cao, tăng diện tích sản xuất lúa giống để đảm bảo nhu cầu trong tỉnh và cung ứng cho các tỉnh khác."
Adrech kon kông minh lơm rim tơdrong pơm păng  đei tơgum pơm,Đồng bào các dân tộc là chủ thể của các hoạt động và trực tiếp thụ hưởng.
"Adrech kon kông đei pơm đưng jơnang pơm tơdrong, glong pơnhroh truh plơk pơnhroh pơm păng la bơngai đei  'yok rim thu đei.","Đồng bào các dân tộc được tham gia ngay từ khâu xây dựng chương trình, kế hoạch đến tổ chức triển khai thực hiện và là người hưởng thụ các thành quả đó."
"Adrech nhung axach; đưng 6 khei sơnăm tơ 'nhươi; trăp đưng 90 kg tơ 'nhươi; phân kâp adrech đưng mi 'bă tơ 'nhươi, ơi  tơm păng li lich hơgei, đei ruôt đưng rim kơ sơ adrech.","Giống lợn siêu nạc; từ 6 tháng tuổi trở lên; trọng lượng từ 90 kg trở lên; phẩm cấp giống từ bố mẹ trở lên, có nguồn gốc và lý lịch rõ ràng, được mua từ các cơ sở giống."
"Adreâch hla nheêm rim loai: puoân trieâu ñoâng minh hecta (hla nheêm thoi le rim loai hla nheêm sa hla, ‘long sa pleêi, ‘long bôgang, ‘long gia viê kôñeh ‘naêr…)","Giống rau màu các loại: 4.000.000 đồng/ha (rau màu bao gồm các loại rau ăn lá, rau ăn trái, cây dược liệu, cây gia vị ngắn ngày...)."
Adreâch vöng: Drôêu kilogam minh hecta,Giống vừng: 6 kg/ha;
"Adreâch ñaâu phung chaê yuoâ lôêm vuê anu la HL 14, TB 25, HL 25, ñaâu phung mo keêt; adreâch hôbo chaê yuoâ rim loai adreâch in: Bi oâ sit 9698, CP 333, PAC 999.","Giống đậu phụng sử dụng trong vụ này là HL14, TB25, HL25, đậu phụng Mỏ két; Giống ngô sử dụng các loại giống như; Bi ô sit 9698, CP 333, PAC 999."
Adreâch ñaâu phung: ‘Baêl hrieâng kilogam minh hecta,Giống lạc: 200 kg/ha;
"Adreâch ñaâu ñoâ (ñaâu xanh, ñaâu ñen…): ‘Baêl jiêt kilogam minh hecta","Giống đậu đỗ (đậu xanh, đậu đen...): 20 kg/ha;"
AdreâÊch lôngôêu V drôêu la adreâÊch lôngôêu anao ñôêng Nhaât atung ñei rim tinh ôgah ‘Baêk pôjing deâh,Giống vừng V6 là giống vừng mới của Nhật đang được các tỉnh phía Bắc phát triển mạnh.
AdreâÊch nho Tao Hoâng maân kam adriêng tôdrong chôñah pleêi deâh loi adreâÊch nho Kö Phong,Giống nho Tảo Hồng mẫn cảm với hiện tượng nứt quả mạnh hơn giống nho Cự Phong.
AdreâÊch oeêng tôdrong adreâÊch,Giống và công tác giống:
"AdreâÊch waê ruoât lôêm rim trung taâm adreâÊch maêk ka ñei naê ma gôneh gônôêm, ôêi chöêng chi ‘long kôl ‘yong söê ‘bao hanh aên bôngai pôtaêm","Giống cần mua tại các trung tâm giống mắc ca có uy tín, có chứng chỉ cây đầu dòng để bảo hành cho người trồng."
Adrin tơiung pơgĕi hnam pơgang oĕi rim xa xư̆ pơm ‘lư̆ng păng pơm đĕi ‘boi Bô̆ tieu chĭ Quô̆k ya lâ̆m tơdrong y tê̆.,Tăng cường đầu tư cho trạm y tế tuyến xã để thực hiện đạt và duy trì việc thực hiện Bộ Tiêu chí Quốc gia về Y tế xã.
"Adring Chu tröông oeng tôdrong noh, naê ma rim kon koâng Vinh Thanh jôh pôjaêng ñaâu tranh adrol rim aâm möu, thu ñoan glaêi ñông ñich, keât hôp ñaâu tranh chinh tri adring ñaâu tranh vu trang sö tö veâ oeng tieân coâng ñich","Với chủ trương và phương châm đó, nhân dân các dân tộc Vĩnh Thạnh đã kiên quyết đấu tranh trước những âm mưu, thủ đoạn hiểm độc của địch, kết hợp đấu tranh chính trị với đấu tranh vũ trang để tự vệ và tiến công địch"
"Adring Phong Lao ñoâng Thöông binh oeng Xa hoâi huyeân rim sônaêm pôlok ñông 2 – 3 lôp pô tôp ngheâ kôñeh naêr, ôi kôp chöng chi ngheâ, ñông rong atuch maêng hok, ñi ñaêng rim naê ma ôi tôdrong pôm oeng aleâ chaê yuoâ tôdrong jôh hok lôm tôdrong pôjing kinh teâ unh hnam.","Phối hợp Phòng Lao động - Thương binh và Xã hội huyện hằng năm mở từ 2 đến 3 lớp dạy nghề ngắn hạn, có cấp chứng chỉ nghề, sau khi kết thúc khóa học tất cả những học viên là nông dân có việc làm và biết vận dụng kiến thức đã học trong việc phát triển kinh tế gia đình."
"Adring Sơ Văn hoa, Thê thao păng Yu lich lơm tô chưk rim tơdrong chăp ăn tơdrong hê thông","Phối hợp với Sở Văn hóa, Thể thao và Du lịch trong tổ chức các hoạt động mang tính hệ thống"
Adring bơngai mă dnuh apung cham plĕi (blŭ adach kon kông 'bĭa bơngai): Jră deh tiê̆n đô̆ pơm xưm sruôih keh kong drong dgưm hnam oĕi tĭa kuiê̆t đĭnh sô̆ pêng jĭt pêng xơnăm 'bal hbâu minh jĭt pơđăm/QĐ-TTg năr minh jĭt khĕi tơngham xơnăm 'bal hbâu minh jĭt pơđăm dĭ Thu tươ̆ng kơpal teh đak.,Đối với đối tượng là người nghèo khu vực nông thôn (kể cả đồng bào nghèo dân tộc thiểu số): Đẩy nhanh tiến độ thực hiện và sớm hoàn thành việc hỗ trợ nhà ở theo Quyết định số 33/2015/QĐ-TTg ngày 10/8/2015 của Thủ tướng Chính phủ
"Adring bơngai ơ̆i kông kach măng: Pơm piêu drong dgưm hnam oĕi tĭa kơ chê̆ chĭnh sach dĭ Kuiê̆t đĭnh sô̆ 'bal jĭt 'bal xơnăm 'bal hbâu minh jĭt pêng/QĐ-TTg dĭ Thu tươ̆ng kơpal teh đak xưm nguôn jên ngân sach tinh, tơring xưm rim nguôn jên dgưm, huy đô̆ng hơp tak nai.","Đối với đối tượng người có công cách mạng: Tiếp tục hỗ trợ về nhà ở theo cơ chế chính sách của Quyết định số 22/2013/QĐ-TTg của Thủ tướng Chính phủ bằng nguồn vốn ngân sách tỉnh, huyện và các nguồn vốn hỗ trợ, huy động hợp pháp khác."
"Adring drong thuk jră tăng trương kinh tê̆, chă drong pơm ăn bơ ngai choh jang lơm tinh 'nĕi drong năm tư̆u, tơja, tra đam, vâ̆n đô̆ng bơngai choh jang năm pơm biê̆k tơ gah teh đak đĕi tinh bơgloh chro truh.","Cùng với việc thúc đẩy tăng trưởng kinh tế, tạo việc làm cho người lao động trong tỉnh thì công tác tuyên truyền, vận động người lao động đi làm việc ở nước ngoài được tỉnh đặc biệt quan tâm."
Adring hanh xư̆ dâ̆t tuôch drong xâm hăi tinh yuk kon dyŏng xưm đe hyoh kon dyŏng,Hãy hành động để chấm dứt xâm hại tình dục phụ nữ và trẻ em gái
Adring hanh đô̆ng yua minh xa hô̆i 'lưng ăn kon dyŏng xưm đe hyoh kon dyŏng,Hãy hành động vì một xã hội (cộng đồng) an toàn cho phụ nữ và trẻ em gái
"Adring hanh đô̆ng, noh bu alê̆ bơ ngai dĭ unh hnam bưn h'lĕ","Hãy hành động, đó có thể là người thân của bạn"
"Adring jiê ñoâÊm hla: Köê tuêk hla jiê jônang anao ‘boh ôêi leêch, jônang ty leâ jiê glaêi deâh ôêi tôdrong chaê yuoâ minh lôêm rim loai bôgang","Đối với bệnh đốm lá: Ngắt bỏ lá bệnh khi mới xuất hiện, khi tỷ bệnh hại cao có thể sử dụng một trong các loại thuốc"
"Adring kan 'bô̆, kông chưk, viên chưk xưm lưk lươ̂̆ng vu trang tơ thơi điêm hmăng kông nhâ̆n","Đối với cán bộ, công chức, viên chức và lực lượng vũ trang tại thời điểm đề nghị công nhận."
"Adring khoan jên sưa chưa grông (yap dang 'bal jĭt phân trăm mưk khâ̆u hao tai san) đĕi yap rim xơnăm lơm ya thanh đak sach, tâng lơm xơnăm Trung tâm đak sach xưm vê̆ sinh môi trương cham plĕi bĭ sư yŭng đĭ tâng lĕi đĕi 'bô sung mưt lơm kuy pôk xuôn hoat đô̆ng sư̆ nghiê̆p dĭ đơn vĭ tĭa kuy đĭnh xư̆ ơ̆i nguôn sưa chưa, yuy tu, nâng kâp kông trinh đak sach jơnang hơ jul kâp, hư hoch.","Đối với khoản chi phí sửa chữa lớn (tính bằng 20% mức khấu hao tài sản) được tính hàng năm trong giá thành nước sạch, nếu trong năm Trung tâm nước sạch và Vệ sinh môi trường nông thôn không sử dụng hết thì được bổ sung vào quỹ phát triển hoạt động sự nghiệp của đơn vị theo quy định để có nguồn sửa chữa, duy tu, nâng cấp công trình nước sạch khi bị xuống cấp, hư hỏng."
"Adring khul kơ koan thuôk 'Bô̆ văn hoa, Thê thao păng yu lich: 'Ban koan ly̆ Yi tich ơ̆i mô̆i koan hê̆ phô̆i hơp ăl kơ jăp","Đối với các cơ quan có liên quan thuộc Bộ Văn hóa, Thể thao và Du lịch: Ban Quản lý Di tích có mối quan hệ phối hợp chặt chẽ"
Adring kinh phi ơi 140.600.000 đông ( Minh hriêng puôn jit triêu dru hriêng hơbâu).,Với tổng kinh phí là 140.600.000 đồng (Một trăm bốn mươi triệu sáu trăm ngàn đồng).
"Adring kông trinh sưa chưa hnam xa, hnam gŏ (sưa 'măng, dâng hnam, la phong, lat gach nên, ôp gach pơ nêl hnam, dnŏ xư̆ pơm đô xa, sưa đĭ đăng trong điên đak...)","Với công trình sửa chữa cải tạo nhà ăn, nhà bếp (sửa chữa cửa, mái, la phông, lát gạch nền, ốp gạch tường, khu vực chế biến thức ăn, sửa chữa toàn bộ hệ thống điện, nước...)."
"Adring kông trinh sưa chưa piêu khu nô̆i trŭ (sưa 'măng, dâng hnam, la phong, lat gach nên 10 phong oĕi tơ nô̆i trŭ, sưa đĭ đăng trong điên đak...)","Với công trình sửa chữa cải tạo khu nội trú (sửa chữa cửa, mái, la phông, lát gạch nền 10 phòng ở khu nội trú, sửa chữa toàn bộ hệ thống điện, nước .)."
"Adring ksoâ jeân oeng pheâ thu dei ñông rim moâ hinh noh, chi hoâi jôh tôgum aên 03 mai oh ôi tôdrong hrat tônap alöng tôdrong yaêl arih","Với số tiền, gạo thu được từ các mô hình trên, chi hội đã giúp đỡ cho 3 hội viên phụ nữ khó khăn, ổn định đời sống"
"Adring ksoâ jeân, pheâ thu ñei thoi qua pôm rim moâ hinh, sônaêm anu yuoâ ôu, rim chi hoâi cô sô jôh tôgum aên lö mai oh hrat tônap vei tôgum choh jang oeng chaêp aên thu yok, pôgop tôdrong alöng tôdrong yaêl arih","Với số tiền, gạo thu được thông qua thực hiện các mô hình trên, năm qua các chi hội cơ sở đã giúp đỡ cho nhiều hội viên phụ nữ khó khăn mượn đầu tư sản xuất và đem lại hiệu quả, góp phần ổn định đời sống"
"Adring ksoâ jeân, pheâ thu ñei ñông rim moâ hinh, chi hoâi jôh tôgum aên 5 mai oh hrat tônap lôm chi hoâi vei tôgum choh jang","Với số tiền, gạo thu được từ các mô hình trên, chi hội đã giúp đỡ cho 5 hội viên phụ nữ khó khăn trong chi hội mượn đầu tư sản xuất"
"Adring kô kach pôm noh, rim loai hla, hoâ sô aên truh hôdôi ñei kang boâ, koâng chök, nhaân vieân boâ phaân moât cöa, moât cöa lieân thoâng ranh tieâp yok, pôm tôdrong phaân loai, thaâm ñinh hoâ sô boi trô tro tôdrong sö chuyeân truh rim boâ phaân chuyeân moân tôgum.","Với cách làm đó, các loại giấy tờ, hồ sơ đưa đến đều được cán bộ, công chức, nhân viên bộ phận “một cửa”, “một cửa liên thông” nhanh chóng tiếp nhận, thực hiện việc phân loại, thẩm định hồ sơ theo đúng quy định để chuyển đến các bộ phận chuyên môn giải quyết."
"Adring loi 05 sao the ñông mi baê aên jônang anao yok kon hnglo, mai luaân jôh pôtaêm keo maêlei yua jônang khai thac khaê ñunh kôna rim sônaêm pô tôm lech oei kôdih, yaê bok mai tôjröm lö hrat tônap","Với hơn 5 sào đất của cha mẹ cho khi mới lập gia đình, chị Luận bắt tay vào trồng keo nhưng do chu kỳ khai thác khá dài nên những năm đầu ra ở riêng, vợ chồng chị gặp nhiều khó khăn"
"Adring muk tiêu, hmăng di '' 'năr Văn hoa rim adring kon kông viêt Nam'' jơh đei 'yok tơ Kuyêt đinh sô 1668/QĐ-TTg di Kơpal têh đak","Với mục tiêu, yêu cầu của “Ngày Văn hóa các dân tộc Việt Nam” đã được ghi nhận tại Quyết định số 1668/QĐ-TTg của Thủ tướng Chính phủ"
"Adring naêm ôi ñ/c Tröông Ñoâng Hai – Pho giam ñoâc Sô vaên hoa oeng theâ thao tinh, Tieâp adring pôm bieâk adring khul ngo hnhei ôi ñ/c Huynh Ñöc Bao – Pho chu tich UBND huyeân","Cùng đi có đ/c Trương Đông Hải - Phó Giám đốc Sở Văn hoá và Thể thao, Tiếp và làm việc với đoàn có đ/c Huỳnh Đức Bảo - Phó Chủ tịch UBND huyện"
"Adring ngheâ rongka lôm klong Ñinh Binh, ling lang pôtho khan naê ma pôjing, pôlok saê pieâu chñeh the rong trô tro adring theâ tich klong","Đối với nghề nuôi cá trên hồ Định Bình tiếp tục khuyến khích người dân phát triển, mở rộng thêm diện tích nuôi phù hợp với thể tích lòng hồ"
"Adring nguoân jeân pôgop ñông rim hnam hao taâm, Hoâi CTÑ tinh jôh aên unh hnam yaê Leâ Thi Tha, thoân An Ngoai 50 trieâu ñoâng ñông nguoân tôgum ñông Heâ thoâng Sieâu thi BigC oeng aên unh hnam nhong Ñinh Löông Baâm oei pôlei M2, xa vinh Thinh 40 trieâu ñoâng ñông nguoân tôgum ñông Cty xaêng daâu  Binh Ñinh sö pôm hnam oei.","Với nguồn kinh phí đóng góp từ các nhà tài trợ, Hội Chữ thập đỏ tỉnh đã trao tặng gia đình bà Lê Thi Thã, thôn An Ngoại 50 triệu đồng từ nguồn hỗ trợ của Hệ thống Siêu thị Big C và trao tặng hộ ông Đinh Lương Bầm ở Làng M2, xã Vĩnh Thịnh 40 triệu đồng từ nguồn hỗ trợ của Cty Xăng dầu Bình Định để xây dựng nhà ở."
Adring nguôn lưk di Kơpal têh đak păng rim tơdrong kinh tê nai adring góng pơm lư tơ aung choh jang  tech pơdro pơnhôm pơk'lep adring chê 'biên păng thi trương tiêu thu.,Cùng với nguồn lực của Nhà nước và các thành phần kinh tế khác tham gia đầu tư những vùng sản xuất hàng hóa tập trung gắn với chế biến và thị trường tiêu thụ.
"Adring noh, Hoâi CCB xa jôh pôlok hok tôp pôtho khan rim Chi thi, Nghi quyeât ñông Ñang, pôgloh la Nghi quyeât 09 ñông Boâ chinh trò lôm “Kjung tôdrong pôgôl ñông Ñang adring tôdrong CCB lôm jônang cach mang anao”","Cùng với đó, Hội Cựu chiến binh xã đã tổ chức học tập quán triệt các chỉ thị, nghị quyết của Đảng, đặc biệt là Nghị quyết 09 của Bộ Chính trị về ""Tăng cường sự lãnh đạo của Đảng với công tác CCB trong giai đoạn cách mạng mới"""
"Adring noh, phong pôm bieâk, cô sô vaât chaât dô no boâ phaân tieâp nhaân oeng tra keât qua ñông UBND huyeân truh rim xa, thi traân hôdôi ñei boâ tri lôm rim dô no alöng, trang bi maêy vi tinh… boi quy ñinh, thoi noh ñei nieâm yeât koâng khai, duh rim trinh tö thu tuc, thôi gian, jeân, leâ phi sö naê ma aleâ.","Cùng với đó, phòng làm việc, cơ sở vật chất tại bộ phận tiếp nhận và trả kết quả từ UBND huyện đến các xã, thị trấn đều được bố trí tại những vị trí thuận tiện, trang bị máy vi tính... theo quy định, đồng thời được niêm yết công khai, đầy đủ các trình tự thủ tục, thời gian, phí, lệ phí để công dân biết."
"Adring noh, rim kôp hoâi noâng daân lôm huyeân jôh adring Phong noâng nghieâp oeng pôjing cham pôlei huyeân tôjung pôm lö moâ hinh trinh dieân ôi thu yok in: moâ hinh pôtaêm hla nhem an toan thoân Ñinh Tröông, xa Vinh Kuang, moâ hinh pôtaêm amne chi thieân thoân Tieân An, Tieân Hoa, xa Vinh Hoa, moâ hinh rong yer lôm ñeâm lot sinh hok lôm tôring thi traân Vinh Thanh, xa Vinh Thinh oeng xa Vinh Kuang…","Cùng với đó, các cấp Hội Nông dân trong huyện đã phối hợp Phòng Nông nghiệp và Phát triển nông thôn huyện xây dựng nhiều mô hình trình diễn có hiệu quả như: mô hình trồng rau an toàn thôn Định Trường (xã Vĩnh Quang), mô hình trồng ớt chỉ thiên thôn Tiên An, Tiên Hòa (xã Vĩnh Hòa), mô hình nuôi gà trên nền đệm lót sinh học trên địa bàn thị trấn Vĩnh Thạnh, xã Vĩnh Thịnh và xã Vĩnh Quang..."
"Adring noh, tôdrong tôjung pôm Ñang kung ñei ngo hnhei jôraê deâh","Cùng với đó, công tác xây dựng Đảng cũng được quan tâm đẩy mạnh"
"Adring nöih sôngöm kôdih aên the, aên long oeng pôgop naêr koâng pôm trong ñông naê ma, naê ma huyeân Vinh Thanh jôh oeng atung ñei ngo la minh trong glong ôi tôdrong apoh deâh truh tôdrong baêt oeng tôdrong pôm ñông naê ma lôm tôring huyeân","Với tinh thần tự nguyện hiến đất, hiến cây và đóng góp ngày công lao động làm đường của hội viên, nông dân huyện Vĩnh Thạnh đã và đang trở thành một phong trào có sức lan toả mạnh mẽ đến nhận thức và hành động của người dân trong toàn huyện"
"Adring nöih sôngöm “Dôt jit in dôt giaêc”, minh ang boâ, chieân si la minh bôngai pôtho khan pôjaêng lôm tôdrong phong dôt jit Covid-19","Với tinh thần “chống dịch như chống giặc”, mỗi cán bộ, chiến sĩ là một tuyên truyền viên tích cực trên mặt trận phòng, chống dịch Covid-19"
"Adring nöih sôngöm “Ñi ñaêng yua ñe hyoh amem mônat”, ñ/c pôkaê rim kôp, rim nganh, rim ñoan theâ oeng ñi ñaêng xa hoâi ling lang jôraê deâh tôdrong tôme rong giao duc ñe hyoh, adring ti pôgop jaêng pran pöôm tôdrong alöng aên toâ chöc Ñoâi Thieâu nieân tieân phong HCM naêr kang pôjing kôjaêp deâh.","Với tinh thần “Tất cả vì đàn em thân yêu”, đồng chí đề nghị các cấp, các ngành, các đoàn thể và toàn xã hội tiếp tục đẩy mạnh công tác chăm sóc giáo dục thiếu niên nhi đồng, cùng chung tay góp sức tạo điều kiện thuận lợi cho tổ chức Đội Thiếu niên tiền phong Hồ Chí Minh ngày càng phát triển vững mạnh."
Adring pôk 'bơl,Hãy lên tiếng
"Adring pôm moâ hinh anu, minh tuaân rim unh hnam lôm pôlei adring pôm quet don oeng thu pônhoâm rac tro tôdrong, tômaên tôl veâ sinh ñoan trong kôñih ngo hnhei","Tham gia mô hình này, hàng tuần các hộ dân trong Làng tham gia quét dọn và thu gom rác thải đúng quy định, đảm bảo vệ sinh chung đoạn đường tự quản"
